ID,participant,x1_JJJ,x2_nchar,freq,
1,CCH02,0,148,0,
2,CCH03,0,236,0,
3,CCH06,0,144,1,
4,CCH07,0,177,1,
5,CCH08,0,212,2,
6,CCH09,0,192,1,
7,CCH10,0,202,0,
8,CCH11,0,172,1,
9,CCH12,0,176,2,
10,CCH13,0,138,0,
11,CCH15,0,186,0,
12,CCH16,0,262,0,
13,CCH17,0,130,0,
14,CCH18,0,240,1,
15,CCH19,0,241,0,
16,CCH20,0,184,0,
17,CCH21,0,181,0,
18,CCH22,0,123,1,
19,CCH23,0,164,1,
20,CCH24,0,132,0,
21,CCH25,0,114,0,
22,CCH26,0,153,0,
23,CCH27,0,141,0,
24,CCH28,0,139,0,
25,CCH29,0,244,0,
26,CCH30,0,151,1,
27,CCH31,0,245,1,
28,CCH32,0,188,0,
29,CCH33,0,209,1,
30,CCH34,0,195,0,
31,CCH35,0,209,0,
32,CCH36,0,131,0,
33,CCH37,0,137,0,
34,CCH38,0,182,2,
35,CCH39,0,248,2,
36,CCH40,0,134,0,
37,CCH42,0,257,1,
38,CCH43,0,241,1,
39,CCH45,0,237,2,
40,CCH46,0,191,0,
41,CCH48,0,173,1,
42,CCH49,0,94,0,
43,CCH50,0,199,0,
44,CCH51,0,207,1,
45,CCH52,0,205,0,
46,CCH54,0,230,1,
47,CCH55,0,223,1,
48,CCH56,0,249,0,
49,CCH59,0,183,0,
50,CCH63,0,192,0,
51,CCM01,0,123,0,
52,CCM02,0,153,0,
53,CCM03,0,171,1,
54,CCM04,0,175,0,
55,CCM05,0,275,0,
56,CCM06,0,160,0,
57,CCM07,0,210,1,
58,CCM08,0,134,0,
59,CCM10,0,214,1,
60,CCM11,0,157,2,
61,CCM12,0,152,0,
62,CCM13,0,115,0,
63,CCM14,0,135,0,
64,CCM15,0,194,2,
65,CCM16,0,135,0,
66,CCM17,0,107,0,
67,CCM18,0,187,0,
68,CCM19,0,130,0,
69,CCM20,0,122,1,
70,CCM22,0,222,0,
71,CCM23,0,184,0,
72,CCM24,0,204,0,
73,CCM25,0,181,0,
74,CCM27,0,238,0,
75,CCM28,0,221,0,
76,CCM29,0,162,0,
77,CCM30,0,207,1,
78,CCM31,0,120,0,
79,CCM32,0,163,0,
80,CCM33,0,106,0,
81,CCM34,0,187,0,
82,CCM35,0,317,0,
83,CCM36,0,157,0,
84,CCM37,0,207,0,
85,CCM39,0,117,0,
86,CCM40,0,159,0,
87,CCM41,0,198,0,
88,CCM42,0,133,2,
89,CCM43,0,196,1,
90,CCM44,0,139,0,
91,CCM45,0,164,0,
92,CCM46,0,166,0,
93,CCM47,0,146,0,
94,CCM48,0,178,0,
95,CCM49,0,168,1,
96,CCM50,0,128,1,
97,CCM51,0,123,0,
98,CCM52,0,122,0,
99,CCM53,0,166,0,
100,CCM54,0,198,1,
101,CCS01,0,272,1,
102,CCS02,0,182,0,
103,CCS03,0,214,1,
104,CCS04,0,231,0,
105,CCS07,0,159,0,
