ID,作品名,成立年,性別,y,x1_gender
1,女学雑誌,1894,女,1,0
2,女学雑誌,1894,女,1,0
3,女学雑誌,1894,女,1,0
4,女学雑誌,1894,女,1,0
5,太陽,1895,女,1,0
6,太陽,1895,女,1,0
7,太陽,1895,女,1,0
8,太陽,1895,女,1,0
9,太陽,1909,女,1,0
10,女学世界,1909,女,1,0
11,女学世界,1909,女,1,0
12,女学世界,1909,女,1,0
13,女学世界,1909,女,1,0
14,女学世界,1909,女,1,0
15,女学世界,1909,女,1,0
16,女学世界,1909,女,1,0
17,女学世界,1909,女,1,0
18,女学世界,1909,女,1,0
19,女学世界,1909,女,1,0
20,女学世界,1909,女,1,0
21,女学世界,1909,女,1,0
22,女学世界,1909,女,1,0
23,女学世界,1909,女,1,0
24,女学世界,1909,女,1,0
25,女学世界,1909,女,1,0
26,女学世界,1909,女,1,0
27,女学世界,1909,女,1,0
28,女学世界,1909,女,1,0
29,女学世界,1909,女,1,0
30,女学世界,1909,女,1,0
31,女学世界,1909,女,1,0
32,女学世界,1909,女,1,0
33,女学世界,1909,女,1,0
34,女学世界,1909,女,1,0
35,女学世界,1909,女,1,0
36,女学世界,1909,女,1,0
37,女学世界,1909,女,1,0
38,女学世界,1909,女,1,0
39,女学世界,1909,女,1,0
40,女学世界,1909,女,1,0
41,女学世界,1909,女,1,0
42,女学世界,1909,女,1,0
43,女学世界,1909,女,1,0
44,女学世界,1909,女,1,0
45,女学世界,1909,女,1,0
46,女学世界,1909,女,1,0
47,女学世界,1909,女,1,0
48,女学世界,1909,女,1,0
49,女学世界,1909,女,1,0
50,女学世界,1909,女,1,0
51,女学世界,1909,女,1,0
52,女学世界,1909,女,1,0
53,女学世界,1909,女,1,0
54,女学世界,1909,女,1,0
55,女学世界,1909,女,1,0
56,女学世界,1909,女,1,0
57,女学世界,1909,女,1,0
58,女学世界,1909,女,1,0
59,女学世界,1909,女,1,0
60,女学世界,1909,女,1,0
61,女学世界,1909,女,1,0
62,女学世界,1909,女,1,0
63,女学世界,1909,女,1,0
64,女学世界,1909,女,1,0
65,女学世界,1909,女,1,0
66,女学世界,1909,女,1,0
67,女学世界,1909,女,1,0
68,女学世界,1909,女,1,0
69,女学世界,1909,女,1,0
70,女学世界,1909,女,1,0
71,女学世界,1909,女,1,0
72,女学世界,1909,女,1,0
73,女学世界,1909,女,1,0
74,女学世界,1909,女,1,0
75,女学世界,1909,女,1,0
76,女学世界,1909,女,1,0
77,女学世界,1909,女,1,0
78,女学世界,1909,女,1,0
79,女学世界,1909,女,1,0
80,女学世界,1909,女,1,0
81,女学世界,1909,女,1,0
82,女学世界,1909,女,1,0
83,女学世界,1909,女,1,0
84,女学世界,1909,女,1,0
85,女学世界,1909,女,1,0
86,女学世界,1909,女,1,0
87,女学世界,1909,女,1,0
88,女学世界,1909,女,1,0
89,女学世界,1909,女,1,0
90,女学世界,1909,女,1,0
91,女学世界,1909,女,1,0
92,女学世界,1909,女,1,0
93,女学世界,1909,女,1,0
94,女学世界,1909,女,1,0
95,女学世界,1909,女,1,0
96,女学世界,1909,女,1,0
97,女学世界,1909,女,1,0
98,女学世界,1909,女,1,0
99,女学世界,1909,女,1,0
100,女学世界,1909,女,1,0
101,女学世界,1909,女,1,0
102,女学世界,1909,女,1,0
103,女学世界,1909,女,1,0
104,女学世界,1909,女,1,0
105,女学世界,1909,女,1,0
106,女学世界,1909,女,1,0
107,女学世界,1909,女,1,0
108,女学世界,1909,女,1,0
109,女学世界,1909,女,1,0
110,女学世界,1909,女,1,0
111,女学世界,1909,女,1,0
112,女学世界,1909,女,1,0
113,女学世界,1909,女,1,0
114,女学世界,1909,女,1,0
115,女学世界,1909,女,1,0
116,女学世界,1909,女,1,0
117,女学世界,1909,女,1,0
118,女学世界,1909,女,1,0
119,女学世界,1909,女,1,0
120,女学世界,1909,女,1,0
121,女学世界,1909,女,1,0
122,女学世界,1909,女,1,0
123,女学世界,1909,女,1,0
124,女学世界,1909,女,1,0
125,女学世界,1909,女,1,0
126,女学世界,1909,女,1,0
127,女学世界,1909,女,1,0
128,女学世界,1909,女,1,0
129,女学世界,1909,女,1,0
130,女学世界,1909,女,1,0
131,女学世界,1909,女,1,0
132,女学世界,1909,女,1,0
133,女学世界,1909,女,1,0
134,女学世界,1909,女,1,0
135,女学世界,1909,女,1,0
136,女学世界,1909,女,1,0
137,太陽,1917,女,1,0
138,太陽,1917,女,1,0
139,伸子,1924,女,1,0
140,伸子,1924,女,1,0
141,伸子,1924,女,1,0
142,伸子,1924,女,1,0
143,婦人倶楽部,1925,女,1,0
144,婦人倶楽部,1925,女,1,0
145,婦人倶楽部,1925,女,1,0
146,婦人倶楽部,1925,女,1,0
147,婦人倶楽部,1925,女,1,0
148,婦人倶楽部,1925,女,1,0
149,婦人倶楽部,1925,女,1,0
150,婦人倶楽部,1925,女,1,0
151,婦人倶楽部,1925,女,1,0
152,婦人倶楽部,1925,女,1,0
153,婦人倶楽部,1925,女,1,0
154,婦人倶楽部,1925,女,1,0
155,婦人倶楽部,1925,女,1,0
156,婦人倶楽部,1925,女,1,0
157,婦人倶楽部,1925,女,1,0
158,婦人倶楽部,1925,女,1,0
159,婦人倶楽部,1925,女,1,0
160,婦人倶楽部,1925,女,1,0
161,婦人倶楽部,1925,女,1,0
162,婦人倶楽部,1925,女,1,0
163,婦人倶楽部,1925,女,1,0
164,婦人倶楽部,1925,女,1,0
165,婦人倶楽部,1925,女,1,0
166,婦人倶楽部,1925,女,1,0
167,婦人倶楽部,1925,女,1,0
168,婦人倶楽部,1925,女,1,0
169,婦人倶楽部,1925,女,1,0
170,婦人倶楽部,1925,女,1,0
171,婦人倶楽部,1925,女,1,0
172,婦人倶楽部,1925,女,1,0
173,婦人倶楽部,1925,女,1,0
174,婦人倶楽部,1925,女,1,0
175,婦人倶楽部,1925,女,1,0
176,婦人倶楽部,1925,女,1,0
177,婦人倶楽部,1925,女,1,0
178,婦人倶楽部,1925,女,1,0
179,婦人倶楽部,1925,女,1,0
180,婦人倶楽部,1925,女,1,0
181,婦人倶楽部,1925,女,1,0
182,婦人倶楽部,1925,女,1,0
183,婦人倶楽部,1925,女,1,0
184,太陽,1895,女,1,0
185,女学世界,1909,女,1,0
186,女学世界,1909,女,1,0
187,女学世界,1909,女,1,0
188,女学世界,1909,女,1,0
189,女学世界,1909,女,1,0
190,女学世界,1909,女,1,0
191,女学世界,1909,女,1,0
192,女学世界,1909,女,1,0
193,女学世界,1909,女,1,0
194,女学世界,1909,女,1,0
195,女学世界,1909,女,1,0
196,女学世界,1909,女,1,0
197,女学世界,1909,女,1,0
198,女学世界,1909,女,1,0
199,女学世界,1909,女,1,0
200,女学世界,1909,女,1,0
201,女学世界,1909,女,1,0
202,女学世界,1909,女,1,0
203,女学世界,1909,女,1,0
204,女学世界,1909,女,1,0
205,女学世界,1909,女,1,0
206,女学世界,1909,女,1,0
207,女学世界,1909,女,1,0
208,女学世界,1909,女,1,0
209,女学世界,1909,女,1,0
210,女学世界,1909,女,1,0
211,女学世界,1909,女,1,0
212,女学世界,1909,女,1,0
213,女学世界,1909,女,1,0
214,女学世界,1909,女,1,0
215,女学世界,1909,女,1,0
216,女学世界,1909,女,1,0
217,女学世界,1909,女,1,0
218,女学世界,1909,女,1,0
219,女学世界,1909,女,1,0
220,女学世界,1909,女,1,0
221,女学世界,1909,女,1,0
222,女学世界,1909,女,1,0
223,女学世界,1909,女,1,0
224,女学世界,1909,女,1,0
225,女学世界,1909,女,1,0
226,女学世界,1909,女,1,0
227,女学世界,1909,女,1,0
228,女学世界,1909,女,1,0
229,女学世界,1909,女,1,0
230,女学世界,1909,女,1,0
231,女学世界,1909,女,1,0
232,女学世界,1909,女,1,0
233,女学世界,1909,女,1,0
234,女学世界,1909,女,1,0
235,女学世界,1909,女,1,0
236,女学世界,1909,女,1,0
237,女学世界,1909,女,1,0
238,女学世界,1909,女,1,0
239,女学世界,1909,女,1,0
240,女学世界,1909,女,1,0
241,女学世界,1909,女,1,0
242,女学世界,1909,女,1,0
243,女学世界,1909,女,1,0
244,女学世界,1909,女,1,0
245,女学世界,1909,女,1,0
246,女学世界,1909,女,1,0
247,女学世界,1909,女,1,0
248,女学世界,1909,女,1,0
249,女学世界,1909,女,1,0
250,女学世界,1909,女,1,0
251,女学世界,1909,女,1,0
252,女学世界,1909,女,1,0
253,女学世界,1909,女,1,0
254,女学世界,1909,女,1,0
255,女学世界,1909,女,1,0
256,女学世界,1909,女,1,0
257,女学世界,1909,女,1,0
258,女学世界,1909,女,1,0
259,女学世界,1909,女,1,0
260,女学世界,1909,女,1,0
261,女学世界,1909,女,1,0
262,女学世界,1909,女,1,0
263,女学世界,1909,女,1,0
264,女学世界,1909,女,1,0
265,女学世界,1909,女,1,0
266,女学世界,1909,女,1,0
267,女学世界,1909,女,1,0
268,女学世界,1909,女,1,0
269,女学世界,1909,女,1,0
270,女学世界,1909,女,1,0
271,女学世界,1909,女,1,0
272,女学世界,1909,女,1,0
273,女学世界,1909,女,1,0
274,女学世界,1909,女,1,0
275,女学世界,1909,女,1,0
276,女学世界,1909,女,1,0
277,女学世界,1909,女,1,0
278,女学世界,1909,女,1,0
279,女学世界,1909,女,1,0
280,女学世界,1909,女,1,0
281,女学世界,1909,女,1,0
282,女学世界,1909,女,1,0
283,女学世界,1909,女,1,0
284,女学世界,1909,女,1,0
285,女学世界,1909,女,1,0
286,女学世界,1909,女,1,0
287,女学世界,1909,女,1,0
288,女学世界,1909,女,1,0
289,女学世界,1909,女,1,0
290,女学世界,1909,女,1,0
291,女学世界,1909,女,1,0
292,女学世界,1909,女,1,0
293,女学世界,1909,女,1,0
294,女学世界,1909,女,1,0
295,女学世界,1909,女,1,0
296,女学世界,1909,女,1,0
297,女学世界,1909,女,1,0
298,女学世界,1909,女,1,0
299,女学世界,1909,女,1,0
300,女学世界,1909,女,1,0
301,女学世界,1909,女,1,0
302,女学世界,1909,女,1,0
303,女学世界,1909,女,1,0
304,女学世界,1909,女,1,0
305,女学世界,1909,女,1,0
306,女学世界,1909,女,1,0
307,女学世界,1909,女,1,0
308,女学世界,1909,女,1,0
309,女学世界,1909,女,1,0
310,女学世界,1909,女,1,0
311,女学世界,1909,女,1,0
312,女学世界,1909,女,1,0
313,女学世界,1909,女,1,0
314,女学世界,1909,女,1,0
315,女学世界,1909,女,1,0
316,女学世界,1909,女,1,0
317,女学世界,1909,女,1,0
318,女学世界,1909,女,1,0
319,女学世界,1909,女,1,0
320,女学世界,1909,女,1,0
321,女学世界,1909,女,1,0
322,女学世界,1909,女,1,0
323,女学世界,1909,女,1,0
324,女学世界,1909,女,1,0
325,女学世界,1909,女,1,0
326,女学世界,1909,女,1,0
327,女学世界,1909,女,1,0
328,女学世界,1909,女,1,0
329,女学世界,1909,女,1,0
330,女学世界,1909,女,1,0
331,女学世界,1909,女,1,0
332,女学世界,1909,女,1,0
333,女学世界,1909,女,1,0
334,女学世界,1909,女,1,0
335,女学世界,1909,女,1,0
336,女学世界,1909,女,1,0
337,女学世界,1909,女,1,0
338,女学世界,1909,女,1,0
339,太陽,1917,女,1,0
340,太陽,1917,女,1,0
341,太陽,1917,女,1,0
342,伸子,1924,女,1,0
343,伸子,1924,女,1,0
344,伸子,1924,女,1,0
345,伸子,1924,女,1,0
346,伸子,1924,女,1,0
347,伸子,1924,女,1,0
348,伸子,1924,女,1,0
349,伸子,1924,女,1,0
350,伸子,1924,女,1,0
351,伸子,1924,女,1,0
352,伸子,1924,女,1,0
353,伸子,1924,女,1,0
354,伸子,1924,女,1,0
355,伸子,1924,女,1,0
356,伸子,1924,女,1,0
357,伸子,1924,女,1,0
358,伸子,1924,女,1,0
359,婦人倶楽部,1925,女,1,0
360,婦人倶楽部,1925,女,1,0
361,婦人倶楽部,1925,女,1,0
362,婦人倶楽部,1925,女,1,0
363,婦人倶楽部,1925,女,1,0
364,婦人倶楽部,1925,女,1,0
365,婦人倶楽部,1925,女,1,0
366,婦人倶楽部,1925,女,1,0
367,婦人倶楽部,1925,女,1,0
368,婦人倶楽部,1925,女,1,0
369,婦人倶楽部,1925,女,1,0
370,婦人倶楽部,1925,女,1,0
371,婦人倶楽部,1925,女,1,0
372,婦人倶楽部,1925,女,1,0
373,婦人倶楽部,1925,女,1,0
374,婦人倶楽部,1925,女,1,0
375,婦人倶楽部,1925,女,1,0
376,婦人倶楽部,1925,女,1,0
377,婦人倶楽部,1925,女,1,0
378,婦人倶楽部,1925,女,1,0
379,婦人倶楽部,1925,女,1,0
380,婦人倶楽部,1925,女,1,0
381,婦人倶楽部,1925,女,1,0
382,婦人倶楽部,1925,女,1,0
383,婦人倶楽部,1925,女,1,0
384,婦人倶楽部,1925,女,1,0
385,婦人倶楽部,1925,女,1,0
386,婦人倶楽部,1925,女,1,0
387,婦人倶楽部,1925,女,1,0
388,婦人倶楽部,1925,女,1,0
389,婦人倶楽部,1925,女,1,0
390,婦人倶楽部,1925,女,1,0
391,婦人倶楽部,1925,女,1,0
392,婦人倶楽部,1925,女,1,0
393,婦人倶楽部,1925,女,1,0
394,婦人倶楽部,1925,女,1,0
395,婦人倶楽部,1925,女,1,0
396,婦人倶楽部,1925,女,1,0
397,婦人倶楽部,1925,女,1,0
398,婦人倶楽部,1925,女,1,0
399,婦人倶楽部,1925,女,1,0
400,婦人倶楽部,1925,女,1,0
401,婦人倶楽部,1925,女,1,0
402,婦人倶楽部,1925,女,1,0
403,婦人倶楽部,1925,女,1,0
404,婦人倶楽部,1925,女,1,0
405,婦人倶楽部,1925,女,1,0
406,婦人倶楽部,1925,女,1,0
407,野戦病院,1941,女,1,0
408,体の中を風が吹く,1957,女,1,0
409,体の中を風が吹く,1957,女,1,0
410,体の中を風が吹く,1957,女,1,0
411,暖簾,1957,女,1,0
412,砂漠の花,1957,女,1,0
413,花の奴隷,1957,女,1,0
414,花の奴隷,1957,女,1,0
415,花の奴隷,1957,女,1,0
416,花の奴隷,1957,女,1,0
417,花の奴隷,1957,女,1,0
418,花の奴隷,1957,女,1,0
419,非情の庭,1957,女,1,0
420,わが愛を星に祈りて　女子高校生の日記,1965,女,1,0
421,わが愛を星に祈りて　女子高校生の日記,1965,女,1,0
422,妻の日の愛のかたみに,1965,女,1,0
423,思い出の回転レシーブ,1965,女,1,0
424,氷点,1965,女,1,0
425,氷点,1965,女,1,0
426,白い巨塔,1965,女,1,0
427,白い巨塔,1965,女,1,0
428,白い巨塔,1965,女,1,0
429,白い巨塔,1965,女,1,0
430,白い巨塔,1965,女,1,0
431,橋のない川,1973,女,1,0
432,橋のない川,1973,女,1,0
433,橋のない川,1973,女,1,0
434,華麗なる一族,1973,女,1,0
435,華麗なる一族,1973,女,1,0
436,華麗なる一族,1973,女,1,0
437,叱り方の上手い親下手な親,1981,女,1,0
438,窓ぎわのトットちゃん,1981,女,1,0
439,窓ぎわのトットちゃん,1981,女,1,0
440,窓ぎわのトットちゃん,1981,女,1,0
441,窓ぎわのトットちゃん,1981,女,1,0
442,窓ぎわのトットちゃん,1981,女,1,0
443,窓ぎわのトットちゃん,1981,女,1,0
444,窓ぎわのトットちゃん,1981,女,1,0
445,窓ぎわのトットちゃん,1981,女,1,0
446,ももこの世界あっちこっちめぐり,1997,女,1,0
447,ももこの世界あっちこっちめぐり,1997,女,1,0
448,人間にとっての成熟とはなにか,2013,女,1,0
449,人間にとっての成熟とはなにか,2013,女,1,0
450,人間にとっての成熟とはなにか,2013,女,1,0
451,人間にとっての成熟とはなにか,2013,女,1,0
452,人間にとっての成熟とはなにか,2013,女,1,0
453,置かれた場所で咲きなさい,2013,女,1,0
454,置かれた場所で咲きなさい,2013,女,1,0
455,置かれた場所で咲きなさい,2013,女,1,0
456,聞く力　心をひらく３５のヒント,2013,女,1,0
457,聞く力　心をひらく３５のヒント,2013,女,1,0
458,聞く力　心をひらく３５のヒント,2013,女,1,0
459,聞く力　心をひらく３５のヒント,2013,女,1,0
460,聞く力　心をひらく３５のヒント,2013,女,1,0
461,野心のすすめ,2013,女,1,0
462,野心のすすめ,2013,女,1,0
463,文化服装講座,1949,女,1,0
464,文化服装講座,1949,女,1,0
465,文化服装講座,1949,女,1,0
466,文化服装講座,1949,女,1,0
467,浮雲,1949,女,1,0
468,浮雲,1949,女,1,0
469,体の中を風が吹く,1957,女,1,0
470,女坂,1957,女,1,0
471,女坂,1957,女,1,0
472,砂漠の花,1957,女,1,0
473,花の奴隷,1957,女,1,0
474,花の奴隷,1957,女,1,0
475,花の奴隷,1957,女,1,0
476,花の奴隷,1957,女,1,0
477,花の奴隷,1957,女,1,0
478,花の奴隷,1957,女,1,0
479,花の奴隷,1957,女,1,0
480,花の奴隷,1957,女,1,0
481,花の奴隷,1957,女,1,0
482,花の奴隷,1957,女,1,0
483,花の奴隷,1957,女,1,0
484,花の奴隷,1957,女,1,0
485,花の奴隷,1957,女,1,0
486,花の奴隷,1957,女,1,0
487,花の奴隷,1957,女,1,0
488,花の奴隷,1957,女,1,0
489,花の奴隷,1957,女,1,0
490,花の奴隷,1957,女,1,0
491,花の奴隷,1957,女,1,0
492,花の奴隷,1957,女,1,0
493,花の奴隷,1957,女,1,0
494,花の奴隷,1957,女,1,0
495,花の奴隷,1957,女,1,0
496,花の奴隷,1957,女,1,0
497,花の奴隷,1957,女,1,0
498,わが愛を星に祈りて　女子高校生の日記,1965,女,1,0
499,わが愛を星に祈りて　女子高校生の日記,1965,女,1,0
500,わが愛を星に祈りて　女子高校生の日記,1965,女,1,0
501,妻の日の愛のかたみに,1965,女,1,0
502,妻の日の愛のかたみに,1965,女,1,0
503,妻の日の愛のかたみに,1965,女,1,0
504,妻の日の愛のかたみに,1965,女,1,0
505,妻の日の愛のかたみに,1965,女,1,0
506,妻の日の愛のかたみに,1965,女,1,0
507,白い巨塔,1965,女,1,0
508,白い巨塔,1965,女,1,0
509,白い巨塔,1965,女,1,0
510,白い巨塔,1965,女,1,0
511,白い巨塔,1965,女,1,0
512,白い巨塔,1965,女,1,0
513,白い巨塔,1965,女,1,0
514,華麗なる一族,1973,女,1,0
515,華麗なる一族,1973,女,1,0
516,華麗なる一族,1973,女,1,0
517,人間にとっての成熟とはなにか,2013,女,1,0
518,人間にとっての成熟とはなにか,2013,女,1,0
519,人間にとっての成熟とはなにか,2013,女,1,0
520,人間にとっての成熟とはなにか,2013,女,1,0
521,置かれた場所で咲きなさい,2013,女,1,0
522,置かれた場所で咲きなさい,2013,女,1,0
523,置かれた場所で咲きなさい,2013,女,1,0
524,置かれた場所で咲きなさい,2013,女,1,0
525,置かれた場所で咲きなさい,2013,女,1,0
526,聞く力　心をひらく３５のヒント,2013,女,1,0
527,聞く力　心をひらく３５のヒント,2013,女,1,0
528,聞く力　心をひらく３５のヒント,2013,女,1,0
529,NA,,女,1,0
530,NA,,女,1,0
531,NA,,女,1,0
532,NA,,女,1,0
533,NA,,女,1,0
534,NA,,女,1,0
535,NA,,女,1,0
536,NA,,女,1,0
537,NA,,女,1,0
538,NA,,女,1,0
539,NA,,女,1,0
540,NA,,女,1,0
541,NA,,女,1,0
542,NA,,女,1,0
543,NA,,女,1,0
544,NA,,女,1,0
545,NA,,女,1,0
546,NA,,女,1,0
547,NA,,女,1,0
548,NA,,女,1,0
549,NA,,女,1,0
550,NA,,女,1,0
551,NA,,女,1,0
552,NA,,女,1,0
553,NA,,女,1,0
554,NA,,女,1,0
555,NA,,女,1,0
556,NA,,女,1,0
557,NA,,女,1,0
558,NA,,女,1,0
559,NA,,女,1,0
560,NA,,女,1,0
561,NA,,女,1,0
562,NA,,女,1,0
563,NA,,女,1,0
564,NA,,女,1,0
565,NA,,女,1,0
566,NA,,女,1,0
567,NA,,女,1,0
568,NA,,女,1,0
569,NA,,女,1,0
570,NA,,女,1,0
571,NA,,女,1,0
572,NA,,女,1,0
573,NA,,女,1,0
574,NA,,女,1,0
575,NA,,女,1,0
576,NA,,女,1,0
577,NA,,女,1,0
578,NA,,女,1,0
579,NA,,女,1,0
580,NA,,女,1,0
581,NA,,女,1,0
582,NA,,女,1,0
583,NA,,女,1,0
584,NA,,女,1,0
585,NA,,女,1,0
586,NA,,女,1,0
587,NA,,女,1,0
588,NA,,女,1,0
589,NA,,女,1,0
590,NA,,女,1,0
591,NA,,女,1,0
592,NA,,女,1,0
593,NA,,女,1,0
594,NA,,女,1,0
595,NA,,女,1,0
596,NA,,女,1,0
597,NA,,女,1,0
598,NA,,女,1,0
599,NA,,女,1,0
600,NA,,女,1,0
601,NA,,女,1,0
602,NA,,女,1,0
603,NA,,女,1,0
604,NA,,女,1,0
605,NA,,女,1,0
606,NA,,女,1,0
607,NA,,女,1,0
608,NA,,女,1,0
609,NA,,女,1,0
610,NA,,女,1,0
611,NA,,女,1,0
612,NA,,女,1,0
613,NA,,女,1,0
614,NA,,女,1,0
615,NA,,女,1,0
616,NA,,女,1,0
617,NA,,女,1,0
618,NA,,女,1,0
619,NA,,女,1,0
620,NA,,女,1,0
621,NA,,女,1,0
622,NA,,女,1,0
623,NA,,女,1,0
624,NA,,女,1,0
625,NA,,女,1,0
626,NA,,女,1,0
627,NA,,女,1,0
628,NA,,女,1,0
629,NA,,女,1,0
630,NA,,女,1,0
631,NA,,女,1,0
632,NA,,女,1,0
633,NA,,女,1,0
634,NA,,女,1,0
635,NA,,女,1,0
636,NA,,女,1,0
637,NA,,女,1,0
638,NA,,女,1,0
639,NA,,女,1,0
640,NA,,女,1,0
641,NA,,女,1,0
642,NA,,女,1,0
643,NA,,女,1,0
644,NA,,女,1,0
645,NA,,女,1,0
646,NA,,女,1,0
647,NA,,女,1,0
648,NA,,女,1,0
649,NA,,女,1,0
650,NA,,女,1,0
651,NA,,女,1,0
652,NA,,女,1,0
653,NA,,女,1,0
654,NA,,女,1,0
655,NA,,女,1,0
656,NA,,女,1,0
657,NA,,女,1,0
658,NA,,女,1,0
659,NA,,女,1,0
660,NA,,女,1,0
661,NA,,女,1,0
662,NA,,女,1,0
663,NA,,女,1,0
664,NA,,女,1,0
665,NA,,女,1,0
666,NA,,女,1,0
667,NA,,女,1,0
668,NA,,女,1,0
669,NA,,女,1,0
670,NA,,女,1,0
671,NA,,女,1,0
672,NA,,女,1,0
673,NA,,女,1,0
674,NA,,女,1,0
675,NA,,女,1,0
676,NA,,女,1,0
677,NA,,女,1,0
678,NA,,女,1,0
679,NA,,女,1,0
680,NA,,女,1,0
681,NA,,女,1,0
682,NA,,女,1,0
683,NA,,女,1,0
684,NA,,女,1,0
685,NA,,女,1,0
686,NA,,女,1,0
687,NA,,女,1,0
688,NA,,女,1,0
689,NA,,女,1,0
690,NA,,女,1,0
691,NA,,女,1,0
692,NA,,女,1,0
693,NA,,女,1,0
694,NA,,女,1,0
695,NA,,女,1,0
696,NA,,女,1,0
697,NA,,女,1,0
698,NA,,女,1,0
699,NA,,女,1,0
700,NA,,女,1,0
701,NA,,女,1,0
702,NA,,女,1,0
703,NA,,女,1,0
704,NA,,女,1,0
705,NA,,女,1,0
706,NA,,女,1,0
707,NA,,女,1,0
708,NA,,女,1,0
709,NA,,女,1,0
710,NA,,女,1,0
711,NA,,女,1,0
712,NA,,女,1,0
713,NA,,女,1,0
714,NA,,女,1,0
715,NA,,女,1,0
716,NA,,女,1,0
717,NA,,女,1,0
718,NA,,女,1,0
719,NA,,女,1,0
720,NA,,女,1,0
721,NA,,女,1,0
722,NA,,女,1,0
723,NA,,女,1,0
724,NA,,女,1,0
725,NA,,女,1,0
726,NA,,女,1,0
727,NA,,女,1,0
728,NA,,女,1,0
729,NA,,女,1,0
730,NA,,女,1,0
731,NA,,女,1,0
732,NA,,女,1,0
733,NA,,女,1,0
734,NA,,女,1,0
735,NA,,女,1,0
736,NA,,女,1,0
737,NA,,女,1,0
738,NA,,女,1,0
739,NA,,女,1,0
740,NA,,女,1,0
741,NA,,女,1,0
742,NA,,女,1,0
743,NA,,女,1,0
744,NA,,女,1,0
745,NA,,女,1,0
